VendorId,PUTime,DOTime,PassengerCount,TripDistance,RateCode,PULocationID,DOLocationID,PaymentType,FareAmount,TripTime
1,1/1/2017 12:34:04 PM,1/1/2017 12:46:52 PM,3,3.1,1,144,161,1,12,768
2,1/1/2017 12:34:04 PM,1/1/2017 12:51:20 PM,1,8.47,1,137,95,1,25,1036
2,1/1/2017 12:34:04 PM,1/1/2017 12:39:56 PM,1,0.73,1,170,186,2,5.5,352
2,1/1/2017 12:34:04 PM,1/1/2017 12:54:05 PM,2,6.74,1,186,116,1,22.5,1201
1,1/1/2017 12:34:05 PM,1/1/2017 12:45:03 PM,1,1.9,1,231,107,2,9.5,658
1,1/1/2017 12:34:05 PM,1/1/2017 12:43:09 PM,1,1.6,1,164,161,1,8,544
2,1/1/2017 12:34:05 PM,1/1/2017 12:47:07 PM,2,3.48,1,13,100,1,13.5,782
2,1/1/2017 12:34:05 PM,1/1/2017 12:39:48 PM,2,1.36,1,170,113,1,6.5,343
2,1/1/2017 12:34:06 PM,1/1/2017 12:54:10 PM,5,4.97,1,141,249,1,18.5,1204
1,1/1/2017 12:34:07 PM,1/1/2017 12:47:06 PM,1,2.6,1,148,164,2,11.5,779
2,1/1/2017 12:34:07 PM,1/1/2017 12:54:42 PM,1,8.38,1,261,166,2,26,1235
2,1/1/2017 12:34:07 PM,1/1/2017 12:43:43 PM,1,3.22,1,50,231,2,12,576
2,1/1/2017 12:34:07 PM,1/1/2017 12:38:36 PM,6,0.61,1,230,163,2,5,269
2,1/1/2017 12:34:07 PM,1/1/2017 12:41:14 PM,1,1.17,1,158,114,2,7,427
1,1/1/2017 12:34:08 PM,1/1/2017 12:44:05 PM,1,1.9,1,142,100,2,9.5,597
1,1/1/2017 12:34:08 PM,1/1/2017 12:48:50 PM,4,3,1,186,79,2,12.5,882
2,1/1/2017 12:34:08 PM,1/1/2017 12:45:11 PM,1,2,1,246,163,1,10,663
1,1/1/2017 12:34:09 PM,1/1/2017 12:35:16 PM,1,0.4,1,237,263,2,3.5,67
2,1/1/2017 12:34:09 PM,1/1/2017 12:44:57 PM,1,1.01,1,162,230,2,8,648
2,1/1/2017 12:34:09 PM,1/1/2017 12:45:34 PM,4,2.57,1,239,161,1,10.5,685
1,1/1/2017 12:34:10 PM,1/1/2017 12:47:19 PM,1,2.7,1,50,237,2,12,789
2,1/1/2017 12:34:10 PM,1/1/2017 12:42:47 PM,2,2.17,1,137,68,1,9,517
1,1/1/2017 12:34:11 PM,1/1/2017 12:47:59 PM,2,4.6,1,232,141,1,16,828
1,1/1/2017 12:34:12 PM,1/1/2017 12:40:52 PM,1,1.5,1,186,107,2,7,400
2,1/1/2017 12:34:12 PM,1/1/2017 12:37:08 PM,1,0.45,1,116,116,2,4,176
2,1/1/2017 12:34:12 PM,1/1/2017 12:53:15 PM,1,7.61,1,263,231,2,23.5,1143
2,1/1/2017 12:34:12 PM,1/1/2017 12:45:55 PM,1,2.33,1,137,237,1,10.5,703
1,1/1/2017 12:34:13 PM,1/1/2017 12:49:39 PM,1,4,1,261,161,2,15,926
1,1/1/2017 12:34:13 PM,1/1/2017 12:40:41 PM,1,1.5,1,237,234,1,7.5,388
1,1/1/2017 12:34:13 PM,1/1/2017 12:51:13 PM,1,3.3,1,263,186,1,14,1020
1,1/1/2017 12:34:14 PM,1/1/2017 12:39:23 PM,1,1,1,263,75,1,5.5,309
1,1/1/2017 12:34:14 PM,1/1/2017 12:39:45 PM,1,1.6,1,74,75,2,7,331
1,1/1/2017 12:34:14 PM,1/1/2017 1:04:28 PM,1,16.3,3,186,1,2,62,1814
1,1/1/2017 12:34:14 PM,1/1/2017 12:41:50 PM,1,1.9,1,170,113,1,8,456
2,1/1/2017 12:34:14 PM,1/1/2017 12:39:34 PM,1,1.28,1,24,239,1,6.5,320
2,1/1/2017 12:34:14 PM,1/1/2017 1:00:26 PM,5,13.62,1,262,89,1,38.5,1572
2,1/1/2017 12:34:14 PM,1/1/2017 12:49:23 PM,1,3.13,1,100,211,2,12.5,909
2,1/1/2017 12:34:14 PM,1/1/2017 12:47:05 PM,2,5.7,1,75,69,2,17.5,771
2,1/1/2017 12:34:14 PM,1/1/2017 12:54:01 PM,1,4.18,1,107,263,2,16,1187
2,1/1/2017 12:34:17 PM,1/1/2017 12:43:32 PM,1,2.94,1,232,162,2,11.5,555
2,1/1/2017 12:34:17 PM,1/1/2017 12:40:55 PM,1,1.03,1,230,186,2,6.5,398
2,1/1/2017 12:34:17 PM,1/1/2017 12:45:03 PM,5,2.38,1,262,43,1,10.5,646
2,1/1/2017 12:34:17 PM,1/1/2017 12:47:10 PM,2,2.19,1,230,246,2,10.5,773
1,1/1/2017 12:34:18 PM,1/1/2017 12:45:26 PM,1,2.5,1,65,190,1,11,668
1,1/1/2017 12:34:18 PM,1/1/2017 12:34:38 PM,1,0.1,1,246,246,4,2.5,20
2,1/1/2017 12:34:18 PM,1/1/2017 12:48:47 PM,1,2.78,1,68,87,1,12.5,869
2,1/1/2017 12:34:18 PM,1/1/2017 12:46:31 PM,1,3.39,1,162,238,1,12.5,733
2,1/1/2017 12:34:18 PM,1/2/2017 12:32:33 PM,1,1.26,1,100,161,1,7,86295
1,1/1/2017 12:34:19 PM,1/1/2017 12:38:29 PM,1,1.4,1,137,229,1,6,250
2,1/1/2017 12:34:19 PM,1/1/2017 12:51:41 PM,1,4.33,1,164,13,2,17,1042
2,1/1/2017 12:34:19 PM,1/1/2017 12:48:10 PM,6,2.75,1,238,100,2,12,831
2,1/1/2017 12:34:19 PM,1/1/2017 12:43:33 PM,6,2.03,1,100,229,1,9,554
2,1/1/2017 12:34:19 PM,1/1/2017 12:45:56 PM,1,5.65,1,170,13,2,17.5,697
2,1/1/2017 12:34:19 PM,1/1/2017 12:48:20 PM,2,2.27,1,141,48,1,11.5,841
1,1/1/2017 12:34:20 PM,1/1/2017 12:40:53 PM,1,2.7,1,137,236,1,9.5,393
2,1/1/2017 12:34:20 PM,1/1/2017 12:42:02 PM,3,1.24,1,43,141,1,7.5,462
1,1/1/2017 12:34:21 PM,1/1/2017 12:51:35 PM,1,5.6,1,164,88,1,19.5,1034
1,1/1/2017 12:34:21 PM,1/1/2017 12:44:36 PM,1,2,1,161,90,1,9.5,615
1,1/1/2017 12:34:21 PM,1/1/2017 12:42:11 PM,1,1.4,1,68,163,1,7.5,470
1,1/1/2017 12:34:22 PM,1/1/2017 12:56:41 PM,1,15.1,1,132,83,1,41.5,1339
1,1/1/2017 12:34:22 PM,1/1/2017 12:35:09 PM,1,0.2,1,233,229,1,3,47
2,1/1/2017 12:34:22 PM,1/1/2017 1:06:55 PM,1,20.9,2,132,87,1,52,1953
2,1/1/2017 12:34:22 PM,1/1/2017 12:42:53 PM,1,2.42,1,164,144,2,9.5,511
1,1/1/2017 12:34:23 PM,1/1/2017 12:39:48 PM,1,0.8,1,79,114,1,5.5,325
2,1/1/2017 12:34:23 PM,1/1/2017 12:43:23 PM,1,0.94,1,233,100,2,7.5,540
2,1/1/2017 12:34:23 PM,1/1/2017 12:53:38 PM,2,4.52,1,87,181,1,17.5,1155
2,1/1/2017 12:34:24 PM,1/1/2017 12:42:30 PM,1,1.41,1,261,45,2,7.5,486
2,1/1/2017 12:34:24 PM,1/1/2017 12:49:13 PM,1,4,1,113,145,1,14,889
2,1/1/2017 12:34:25 PM,1/1/2017 12:38:44 PM,1,0.89,1,231,211,1,5.5,259
2,1/1/2017 12:34:25 PM,1/1/2017 12:39:05 PM,1,0.65,1,246,100,1,5,280
1,1/1/2017 12:34:28 PM,1/1/2017 12:42:27 PM,1,2.2,1,233,113,1,9,479
2,1/1/2017 12:34:28 PM,1/1/2017 12:43:07 PM,1,1.62,1,43,142,2,8.5,519
2,1/1/2017 12:34:28 PM,1/1/2017 12:43:46 PM,1,1.41,1,263,239,1,8.5,558
2,1/1/2017 12:34:28 PM,1/1/2017 12:36:16 PM,1,0.56,1,237,141,2,4,108
1,1/1/2017 12:34:29 PM,1/1/2017 12:44:30 PM,1,2.6,1,142,170,1,10,601
2,1/1/2017 12:34:29 PM,1/1/2017 12:56:18 PM,3,7.71,1,234,116,1,25.5,1309
2,1/1/2017 12:34:29 PM,1/1/2017 12:53:41 PM,2,8.9,5,186,265,1,55,1152
2,1/1/2017 12:34:29 PM,1/1/2017 12:44:03 PM,1,2.56,1,236,142,1,10,574
1,1/1/2017 12:34:30 PM,1/1/2017 12:45:04 PM,1,1.4,1,107,186,1,9,634
1,1/1/2017 12:34:30 PM,1/1/2017 12:39:52 PM,1,1.1,1,41,151,1,6.5,322
2,1/1/2017 12:34:30 PM,1/1/2017 12:58:48 PM,3,15.7,1,132,256,1,42.5,1458
1,1/1/2017 12:34:31 PM,1/1/2017 12:41:35 PM,1,1.2,1,162,164,1,7,424
2,1/1/2017 12:34:31 PM,1/1/2017 12:44:06 PM,1,2.4,1,264,264,2,10,575
2,1/1/2017 12:34:32 PM,1/1/2017 12:41:31 PM,1,1.39,1,238,142,1,7.5,419
1,1/1/2017 12:34:33 PM,1/1/2017 12:45:12 PM,1,2.1,1,41,263,1,10,639
1,1/1/2017 12:34:33 PM,1/1/2017 12:41:20 PM,2,1.4,1,50,246,2,7.5,407
